 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     15     3,15      15,25       0,00   13316   0 aesm_service
     25    28,77      37,97       0,52   15292   1 ApplicationFrameHost
      7     1,16       5,29       0,00    5004   0 ApsInsMonSvc
      8     1,52       6,54       0,00    4352   0 ApsInsSvc
      8     1,54       6,09       0,00    4464   0 armsvc
     13     7,88      13,81       0,62    6560   0 audiodg
     10     5,38       8,16       0,02    2280   1 bash
      8     5,22       6,80       0,02    9712   1 bash
      9     6,91       9,95       0,36   12324   1 bash
     28    22,52      17,93       0,84    3200   1 Calculator
     26    34,33      42,44       1,75    3832   1 com.docker.backend
     10    17,86      14,39       0,12    4124   1 com.docker.dev-envs
     13    23,11      22,61       0,44    6608   1 com.docker.proxy
     48    49,40      68,52       0,00    5676   0 com.docker.service
     10    18,70      16,25       0,16    1680   1 com.docker.wsl-distro-proxy
      9     6,52      12,32       0,03    1892   1 conhost
      9     6,52      12,32       0,03    2056   1 conhost
      8     6,18      10,53       0,02    3292   1 conhost
      7     6,20      10,45       0,02    3760   1 conhost
      9     6,54      12,33       0,03    4020   1 conhost
      7     6,07       9,47       0,00    4092   0 conhost
      7     6,20      10,36       0,02    4792   1 conhost
      7     6,20      10,55       0,02    5112   1 conhost
      9     6,52      12,33       0,08    7188   1 conhost
      7     6,20      10,44       0,05    7296   1 conhost
      7     6,20      10,54       0,02    7364   1 conhost
      7     6,16       9,82       0,05    8256   1 conhost
      7     6,20      10,53       0,03    9532   1 conhost
      7     6,19      10,54       0,06   10316   1 conhost
     10     6,65      13,31       0,00   10424   0 conhost
     10     6,54      12,33       0,03   10604   1 conhost
      7     6,20      10,50       0,03   11712   1 conhost
      9     6,53      12,35       0,08   12928   1 conhost
      8     6,21      10,54       0,03   12940   1 conhost
     48    30,75      79,30       1,75   13752   1 Cortana
     30     1,98       4,81       0,00     756   0 csrss
     24     2,55       5,41       0,00     864   1 csrss
     16     4,08      19,72       1,78    8244   1 ctfmon
     17    25,77      25,27       0,00    4340   0 CxAudioSvc
     10     1,80       8,41       0,00    4488   0 CxAudMsg64
      8     1,44       6,08       0,00    4400   0 CxUIUSvc64
      9     1,37       6,93       0,00    4436   0 CxUtilSvc
