ID	Name	CPUPerc	MemUsage	NetIO	BlockIO
9dcdf3be4596	portal-webapp	0.00%	159.5MiB / 3.841GiB	1.76MB / 36.6kB	0B / 0B
ed6a63401758	company-api	52.20%	91.29MiB / 3.841GiB	198kB / 7.45kB	0B / 0B
097d03f22569	terminals-api	0.01%	27MiB / 3.841GiB	670B / 0B	0B / 0B
cec21d123494	my-db	0.03%	112MiB / 3.841GiB	1.33kB / 0B	0B / 0B
9dcdf3be4596	portal-webapp	0.00%	124.2MiB / 3.841GiB	1.76MB / 36.6kB	0B / 0B
ed6a63401758	company-api	44.84%	91.87MiB / 3.841GiB	198kB / 7.67kB	0B / 0B
097d03f22569	terminals-api	0.00%	27.25MiB / 3.841GiB	740B / 0B	0B / 0B
cec21d123494	my-db	0.02%	112MiB / 3.841GiB	1.33kB / 0B	0B / 0B
9dcdf3be4596	portal-webapp	0.00%	124.2MiB / 3.841GiB	1.76MB / 36.6kB	0B / 0B
ed6a63401758	company-api	44.84%	92.18MiB / 3.841GiB	198kB / 7.85kB	0B / 0B
097d03f22569	terminals-api	0.01%	27.25MiB / 3.841GiB	810B / 0B	0B / 0B
cec21d123494	my-db	0.02%	111.9MiB / 3.841GiB	1.33kB / 0B	0B / 0B
9dcdf3be4596	portal-webapp	0.00%	124.2MiB / 3.841GiB	1.76MB / 36.6kB	0B / 0B
ed6a63401758	company-api	46.80%	92.37MiB / 3.841GiB	198kB / 7.85kB	0B / 0B
097d03f22569	terminals-api	0.00%	27.25MiB / 3.841GiB	810B / 0B	0B / 0B
cec21d123494	my-db	0.01%	111.9MiB / 3.841GiB	1.4kB / 0B	0B / 0B
9dcdf3be4596	portal-webapp	0.00%	124.2MiB / 3.841GiB	1.76MB / 36.6kB	0B / 0B
ed6a63401758	company-api	46.13%	91.61MiB / 3.841GiB	198kB / 7.85kB	0B / 0B
097d03f22569	terminals-api	0.01%	27.25MiB / 3.841GiB	880B / 0B	0B / 0B
cec21d123494	my-db	0.03%	111.9MiB / 3.841GiB	1.4kB / 0B	0B / 0B
9dcdf3be4596	portal-webapp	0.00%	124.2MiB / 3.841GiB	1.76MB / 36.6kB	0B / 0B
ed6a63401758	company-api	47.01%	91.73MiB / 3.841GiB	198kB / 7.85kB	0B / 0B
097d03f22569	terminals-api	0.00%	27.25MiB / 3.841GiB	880B / 0B	0B / 0B
cec21d123494	my-db	0.01%	111.9MiB / 3.841GiB	1.4kB / 0B	0B / 0B
9dcdf3be4596	portal-webapp	0.00%	124.2MiB / 3.841GiB	1.76MB / 36.6kB	0B / 0B
ed6a63401758	company-api	44.07%	92.54MiB / 3.841GiB	198kB / 7.85kB	0B / 0B
097d03f22569	terminals-api	0.00%	27.25MiB / 3.841GiB	880B / 0B	0B / 0B
cec21d123494	my-db	0.01%	111.9MiB / 3.841GiB	1.4kB / 0B	0B / 0B
9dcdf3be4596	portal-webapp	0.00%	124.2MiB / 3.841GiB	1.76MB / 36.6kB	0B / 0B
ed6a63401758	company-api	43.37%	92.65MiB / 3.841GiB	198kB / 7.85kB	0B / 0B
097d03f22569	terminals-api	0.00%	27.25MiB / 3.841GiB	880B / 0B	0B / 0B
