 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     15     3,35      15,46       0,00    9988   0 aesm_service
     27    27,38      38,25       0,41   14904   1 ApplicationFrameHost
      7     1,15       5,29       0,00    5336   0 ApsInsMonSvc
      8     1,60       6,60       0,00    4604   0 ApsInsSvc
      8     1,55       6,10       0,00    4512   0 armsvc
     13     7,83      13,89       1,36    5868   0 audiodg
      9     7,00      10,35       0,14    4600   1 bash
      9     6,96       9,98       0,36   12576   1 bash
      9     7,03      10,19       0,20   14952   1 bash
      8     5,23       6,79       0,02   15000   1 bash
     10     5,34       8,16       0,05   15036   1 bash
     28    22,62      51,45       0,94   12324   1 Calculator
      5     2,62       4,91       0,03    2060   1 cmd
      5     2,95       4,89       0,05   12932   1 cmd
      5     2,20       4,23       0,02   14208   1 cmd
     49    40,21      20,02       1,55   12216   1 ColorPickerUI
     27    29,41      38,59       0,00    6000   0 com.docker.service
      7     6,07       9,45       0,00    4100   0 conhost
      7     6,18       9,83       0,03   10216   1 conhost
      9     6,53      12,04       0,05   13524   1 conhost
     49    28,31      77,18       1,11    3724   1 Cortana
     29     2,03       4,83       0,00     772   0 csrss
     22     2,52       5,36       0,00     856   1 csrss
     16     4,08      19,52       1,48    7852   1 ctfmon
     17    25,86      25,34       0,00    4420   0 CxAudioSvc
     10     1,76       8,40       0,00    4564   0 CxAudMsg64
      8     1,45       6,09       0,00    4452   0 CxUIUSvc64
      9     1,29       6,90       0,00    4428   0 CxUtilSvc
     15     2,88       9,22       0,00    5544   0 dasHost
      6     0,91       4,52       0,00    7092   0 dasHost
     11     5,87      14,38       0,00    4980   0 DAX3API
     11     2,43      10,72       0,00    7044   1 DAX3API
      9     1,78       8,14       0,11   13080   1 DisplayLinkTrayApp
     14     2,05       7,86       0,05    9676   1 dllhost
     29     6,88      14,27       0,11    9912   1 dllhost
     16     3,00      10,41       0,00    9972   0 dllhost
      7     1,31       6,68       0,02   12416   1 dllhost
      7     1,44       5,16       2,38     852   1 dptf_helper
     40    55,32      91,16       0,00    1368   1 dwm
     13     1,94       9,33       0,00    4712   0 EasyResume
      7     2,02       6,05       0,00    4128   0 esif_uf
     14     6,56      14,11       0,97    4300   1 ETDCtrl
      9     1,87       6,82       0,00    3224   0 ETDService
     85    72,24     136,25      10,20    7416   1 explorer
     14     1,77       7,47       0,09   13140   1 FileZillaServer
     11     7,99      11,99       0,00    1084   1 fontdrvhost
      5     1,52       3,52       0,00    1092   0 fontdrvhost
     11     1,78       1,68       0,00    7524   0 GoogleCrashHandler
     10     1,81       1,48       0,00    8468   0 GoogleCrashHandler64
     29     9,39      18,94       0,45    1532   1 httpd
     50    15,24      22,15       0,25   14392   1 httpd
      9     1,90       6,59       0,00    3024   0 ibmpmsvc
      0     0,06       0,01       0,00       0   0 Idle
     10     1,85       8,85       0,00    2216   0 igfxCUIService
     14     3,64      13,69       0,23    8508   1 igfxEM
     23    27,24      21,39       0,00    4748   0 IntelAudioService
      8     1,36       7,11       0,00    1832   0 IntelCpHDCPSvc
      7     1,43       6,91       0,00    1572   0 IntelCpHeciSvc
     10     1,58       7,63       0,00    5636   0 jhi_service
     64    47,39      73,25       0,00    4436   0 Lenovo.Modern.ImController
     49    29,28      50,42       1,66    7716   1 Lenovo.Modern.ImController.PluginHost.CompanionApp
     30    26,73      43,00       0,00    2932   0 Lenovo.Modern.ImController.PluginHost.Device
     37    33,84      51,35       0,00    6508   0 Lenovo.Modern.ImController.PluginHost.Device
     42    45,69      70,98       0,00    6832   0 Lenovo.Modern.ImController.PluginHost.Device
     30    32,45      45,56       1,03   11376   1 Lenovo.Modern.ImController.PluginHost.Device
     37    26,04      43,69       1,53   13804   1 Lenovo.Modern.ImController.PluginHost.Device
     41    41,22      61,41       2,14    3256   1 Lenovo.Modern.ImController.PluginHost.SettingsApp
      8     1,43       6,02       0,00    3032   0 LITSSvc
     13     3,77      12,68       0,00    4788   0 LMS
      6     0,95       3,06       0,00    1016   0 LsaIso
     27     8,07      21,50       0,00      88   0 lsass
      0     0,07       5,64       0,00    3380   0 MemoryCompression
      8     1,28       5,58       0,00    4412   0 mosquitto
     14     3,21      13,54       0,00    3236   0 MoUsoCoreWorker
     91   316,25     279,92       0,00    4444   0 MsMpEng
     16   205,88      29,83       0,34   12080   1 mysqld
     17     3,59      10,29       0,00    9136   0 NisSrv
     64    55,89      53,40       3,06     784   1 node
    188   399,27     396,09      54,16    2752   1 node
     19    17,98      29,57       0,44    9020   1 node
     19    18,46      31,25       0,45   12276   1 node
     19    16,74      29,66      13,53   12812   1 node
     26    34,00      55,30       0,00    4704   0 OfficeClickToRun
     32    42,45      55,29       0,00    4736   0 OneApp.IGCC.WinService
     10     2,05       8,81       0,14    4636   1 OpenConsole
     10     2,02       8,29       0,16   12568   1 OpenConsole
     10     2,10       8,59       0,22   14864   1 OpenConsole
     85   123,61      86,85      19,67   11268   1 PowerLauncher
     21     4,09       8,45       0,58    7008   1 PowerMgr
     18     3,95       7,61       0,34    7636   1 PowerToys
     15    29,04       7,59       0,52   12240   1 PowerToys.FancyZones
      9    15,79       4,32       0,38   12264   1 PowerToys.KeyboardManagerEngine
     57    43,08      78,14       0,72    2680   1 pwsh
     16    17,25     108,14       0,00     128   0 Registry
      8     1,43       6,87       0,00    4772   0 RstMwService
     16     6,27      25,30       0,33    4744   1 RuntimeBroker
     13     2,79      13,99       0,02    9488   1 RuntimeBroker
     18     6,49      26,19       1,19   10324   1 RuntimeBroker
     27    11,58      37,21       1,02   10784   1 RuntimeBroker
     17     4,05      17,91       2,31   11308   1 RuntimeBroker
      9     2,19       9,52       0,09   12456   1 RuntimeBroker
     12     2,95      16,29       0,91   13348   1 RuntimeBroker
      9     2,02       8,34       0,03   15128   1 RuntimeBroker
    125   160,57     245,92       7,50   10508   1 SearchApp
     73    33,34      37,73       0,00   10528   0 SearchIndexer
      0     0,18      38,04       0,00      72   0 SecureSystem
     15     3,86      14,24       0,00   12940   0 SecurityHealthService
     10     1,82       8,86       0,08   11084   1 SecurityHealthSystray
      6     4,44       4,45       0,00    2540   1 sed
      6     4,45       4,46       0,00    3776   1 sed
     12     6,11      10,95       0,00     996   0 services
      4     0,59       2,92       0,00    4528   0 SessionService
     11     2,41       6,29       0,20    9172   1 SettingSyncHost
      7     7,66      10,86       0,00    2276   0 SgrmBroker
      7     5,12       6,33       0,00    5364   1 sh
      8     5,14       7,65       0,05    8868   1 sh
      7     5,13       6,33       0,02   10252   1 sh
      8     5,19       7,68       0,03   11868   1 sh
     16     8,55      18,05       0,00    1468   1 shtctky
     18     6,51      26,61       2,52    2984   1 sihost
     22     8,11      23,02       0,25   12860   1 smartscreen
      3     1,04       1,18       0,00     544   0 smss
      9     1,48       7,39       0,00   11076   0 SocketHeciServer
     23     5,83      17,03       0,00    2132   0 spoolsv
     13     9,06      14,37       0,00    5568   0 SPSSLVpnService
      9     1,89       7,86       0,00    4496   0 sqlwriter
      7     1,17       5,32       0,00    4584   0 ssh-agent
      7     5,06       5,29       0,03   13224   1 ssh-agent
     31    23,66      68,28       1,42    5124   1 StartMenuExperienceHost
     24    11,91      31,62       0,00    1048   0 svchost
     21     7,59      15,45       0,00    1200   0 svchost
     14     2,64       8,34       0,00    1300   0 svchost
     10     1,98       7,60       0,00    1472   0 svchost
      7     1,22       5,21       0,00    1484   0 svchost
      9     1,13       5,18       0,00    1520   0 svchost
      7     1,44       5,92       0,00    1592   0 svchost
     13     2,48      10,24       0,00    1628   0 svchost
     18     6,62      15,36       0,00    1636   0 svchost
     14     5,86      15,71       0,00    1644   0 svchost
      9     1,96       8,09       0,00    1648   0 svchost
     12     2,73       8,61       0,00    1844   0 svchost
     14     3,38      19,91       0,00    1852   0 svchost
      9     2,11       7,70       0,00    1908   0 svchost
     16    23,48      24,49       0,00    1968   0 svchost
     12     2,06       8,29       0,00    2052   0 svchost
     12     2,30      11,30       0,00    2140   0 svchost
     24     4,30       8,22       0,00    2204   0 svchost
      8     1,42       6,92       0,00    2336   0 svchost
     10     2,90       8,01       0,00    2352   0 svchost
     17    14,66      23,23       0,00    2380   0 svchost
     15     5,11      13,13       0,00    2580   0 svchost
     11     2,33      10,27       0,00    2688   0 svchost
     12     3,16       9,81       0,00    2740   0 svchost
      9    14,12      22,49       0,00    2856   0 svchost
     13     4,39      13,30       0,00    2924   0 svchost
     10     2,22       8,31       0,00    2948   0 svchost
     15     3,39       8,78       0,00    3040   0 svchost
     12     2,61      12,65       0,00    3132   0 svchost
      8     1,50       6,73       0,00    3136   0 svchost
      7     1,28       5,62       0,00    3148   0 svchost
      9     2,04       8,01       0,00    3328   0 svchost
     10     1,97       7,83       0,00    3336   0 svchost
     34    13,73      25,88       0,00    3372   0 svchost
     27     6,54      17,86       0,00    3400   0 svchost
     16    10,75      18,16       0,00    3512   0 svchost
     13     3,12      12,71       0,00    3544   0 svchost
     19     8,85      17,64       0,00    3640   0 svchost
     11     1,75       6,54       0,00    3680   0 svchost
     15     2,89      10,15       0,00    3688   0 svchost
     24     6,19      19,28       0,00    3888   0 svchost
     16     3,06      13,93       0,00    4032   0 svchost
     11     2,07       8,09       0,00    4176   0 svchost
     12     4,04       9,45       0,00    4220   0 svchost
     19     8,57      34,21       0,72    4304   1 svchost
      7     1,62       6,52       0,00    4308   0 svchost
     26     3,76      12,90       0,00    4320   0 svchost
     24     8,79      35,12       0,84    4372   1 svchost
      9     1,53       6,55       0,00    4460   0 svchost
      7     1,25       5,49       0,00    4468   0 svchost
     26    15,68      29,92       0,00    4476   0 svchost
     14     2,71       7,95       0,00    4484   0 svchost
     24    10,86      19,85       0,00    4520   0 svchost
     20     4,71      20,66       0,00    4536   0 svchost
      8     1,60       7,03       0,00    4544   0 svchost
     16     2,82      10,52       0,00    4556   0 svchost
     17    11,17      22,45       0,00    4992   0 svchost
     12     2,71      11,10       0,00    5000   0 svchost
